# rime-lantern gloss table, generated by tools/build_gloss.py
# Source: CC-CEDICT (https://cc-cedict.org), release date 2026-09-17T05:48:14Z, 125072 entries
# Source sha256: 0d8031a4fa0386f1ad10bf7123187dcc536a061fcb9d22cca3cada7517edc1c2
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Columns: simplified<TAB>traditional<TAB>gloss1; gloss2; gloss3
11区	11區	Japan
一字	一字	in a row; in a line
一字一泪	一字一淚	each word is a teardrop
一字不差	一字不差	word for word; verbatim; without a single mistake or omission
一字不提	一字不提	to not mention a single word
一字不漏	一字不漏	without missing a word
一字不识	一字不識	totally illiterate
一字之师	一字之師	one who can correct a misread or misspelt character and thus be your master
一字儿	一字兒	erhua form of
一字千金	一字千金	one word worth a thousand in gold; each character is perfect; each word is highly valued
一字巾	一字巾	headband; strip of cloth worn around the head
一字纵队	一字縱隊	single file
一字褒贬	一字褒貶	to dispense praise or blame with a single word; concise and powerful wording
一字马	一字馬	the splits
一学就会	一學就會	to pick up (a skill) in a very short time; to take to sth like a duck to water
一定	一定	surely; certainly; definitely
一审	一審	first instance
一家	一家	the whole family; the same family; the family ...
一家之主	一家之主	master of the house; head of the family
一家人	一家人	the whole family; members of the same family
一家人不说两家话	一家人不說兩家話	lit. family members speak frankly with one another, not courteously, as if they were from two different families; fig. people don't need to be deferential when they ask a family member for help; people from the same family should stick together
一家子	一家子	the whole family
一宿	一宿	one whole night; all night
一寸光阴一寸金	一寸光陰一寸金	time is precious
一寸光阴一寸金，寸金难买寸光阴	一寸光陰一寸金，寸金難買寸光陰	an interval of time is worth an ounce of gold, money cannot buy you time; time is precious
一对	一對	couple; pair
一对一	一對一	one-to-one; one-on-one
一对一斗牛	一對一鬥牛	one-on-one basketball game
一对儿	一對兒	a pair; a couple
一小撮	一小撮	handful
一小部分	一小部分	a small part; a small section
一小阵儿	一小陣兒	very brief period of time
一尘不染	一塵不染	untainted by even a speck of dust; spotlessly clean; honest
一层	一層	one layer; one level
一展身手	一展身手	to showcase one's talents; to display one's prowess
一山不容二虎	一山不容二虎	lit. the mountain can't have two tigers; fig. this town ain't big enough for the two of us; to be fiercely competitive
一己	一己	oneself
一帆风顺	一帆風順	propitious wind throughout the journey; plain sailing; to go smoothly
一带	一帶	region; area
一带一路	一帶一路	Belt and Road Initiative (BRI), Chinese infrastructure and investment strategy launched in 2013
一带而过	一帶而過	to skate around; to skip over; to skimp
一席之地	一席之地	place; a role to play; niche
一席话	一席話	the content of a conversation; words; remarks
一干二净	一乾二淨	thoroughly; completely; one and all
一年一度	一年一度	annual; once a year
一年之计在于春	一年之計在於春	the whole year must be planned for in the spring; early planning is the key to success
一年到头	一年到頭	all year round
一年半	一年半	a year and a half
一年半载	一年半載	about a year
一年四季	一年四季	all year round
一年多	一年多	more than a year
一年期	一年期	one year period
一年生	一年生	annual
一并	一併	to lump together; to treat along with all the others
一应	一應	all; every
一应俱全	一應俱全	with everything needed available
一度	一度	for a time; at one time; one time
一式二份	一式二份	in duplicate
一弹指顷	一彈指頃	a snap of the fingers; in a flash; in the twinkling of an eye
一往情深	一往情深	deeply attached; devoted
一往无前	一往無前	to advance courageously; to press forward
一径	一徑	directly; straightaway; straight
一律	一律	same; identical; uniformly
一心	一心	wholeheartedly; heart and soul
一心一德	一心一德	of one heart and one mind
一心一意	一心一意	concentrating one's thoughts and efforts; single-minded; bent on
一心二用	一心二用	to do two things at once; to multitask; to divide one's attention
一心多用	一心多用	to multitask
一念之差	一念之差	momentary slip; false step; ill-considered action
一总	一總	altogether; in all
一惊一乍	一驚一乍	frightened; flustered
一意	一意	focus; with complete devotion; stubbornly
一意孤行	一意孤行	obstinately clinging to one's course; willful; one's own way
一成不变	一成不變	immutable; impervious to change; set in stone
一战	一戰	World War I
一房一厅	一房一廳	one bedroom and one living room
一手	一手	a skill; mastery of a trade; by oneself
一手交钱，一手交货	一手交錢，一手交貨	lit. one hand exchanges the cash, the other the goods; fig. to pay for what you want in cash; simple and direct transaction
一手包办	一手包辦	to take care of a matter all by oneself; to run the whole show
一手遮天	一手遮天	lit. to hide the sky with one hand; to hide the truth from the masses
一打	一打	dozen
一扫而空	一掃而空	to make a clean sweep of; to clean out
一技之长	一技之長	proficiency in a particular field; skill in a specialized area
一把好手	一把好手	expert; dab hand
一把屎一把尿	一把屎一把尿	to have endured all sorts of hardships
一把年纪	一把年紀	to be getting on in years; an advanced age
一把手	一把手	working hand; member of a work team; participant
一把抓	一把抓	to attempt all tasks at once; to manage every detail regardless of its importance
一把死拿	一把死拿	stubborn; inflexible
一把眼泪一把鼻涕	一把眼淚一把鼻涕	with one's face covered in tears
一把钥匙开一把锁	一把鑰匙開一把鎖	One key opens one lock.; There is a different solution for each problem.
一抓一大把	一抓一大把	to be a dime a dozen; easy to come by
一抿子	一抿子	a little bit
一拍两散	一拍兩散	to break up; to separate
一拍即合	一拍即合	lit. to be together from the first beat; to hit it off; to click together
一拥而上	一擁而上	to swarm around; flocking
一拥而入	一擁而入	to swarm in
一拨儿	一撥兒	group of people
一挥而就	一揮而就	to finish (a letter, a painting) at a stroke
一排	一排	row
一探究竟	一探究竟	to check out; to investigate
一推六二五	一推六二五	1 divided by 16 is 0.0625; to deny responsibility; to pass the buck
一掬同情之泪	一掬同情之淚	to shed tears of sympathy
一掷千金	一擲千金	lit. stake a thousand pieces of gold on one throw; to throw away money recklessly; extravagant
一揽子	一攬子	all-inclusive; undiscriminating
一改再改	一改再改	to change (sth) repeatedly
一改故辙	一改故轍	complete change from the old rut; dramatic change of direction; a volte-face
一文不值	一文不值	worthless; no use whatsoever
一文不名	一文不名	to be penniless
一斑	一斑	lit. one spot; fig. one small item in a big scheme
一方	一方	a party; one side; area
一方面	一方面	on the one hand
一旁	一旁	aside; to the side of
一族	一族	social group; subculture; family
一无所动	一無所動	totally unaffected; unimpressed
一无所有	一無所有	not having anything at all; utterly lacking; without two sticks to rub together
一无所知	一無所知	not knowing anything at all; completely ignorant
一无所获	一無所獲	to gain nothing; to end up empty-handed
一无所长	一無所長	not having any special skill; without any qualifications
一无所闻	一無所聞	unheard of
一无是处	一無是處	not one good point; everything about it is wrong
一日三秋	一日三秋	a single day apart seems like three seasons
一日三餐	一日三餐	to have three meals a day
一日不如一日	一日不如一日	to be getting worse by the day
一日不见，如隔三秋	一日不見，如隔三秋	one day apart seems like three years
一日为师，终身为父	一日為師，終身為父	teacher for one day, father forever; students should have deep respect and lifelong gratitude for their teachers
一日之计在于晨	一日之計在於晨	make your day's plan early in the morning; early morning is the golden time of the day
一日之雅	一日之雅	lit. friends for a day; fig. casual acquaintance
一日千里	一日千里	lit. one day, a thousand miles; rapid progress
一日游	一日遊	day trip; one-day tour
一旦	一旦	in case; if; once
一早	一早	early in the morning; at dawn
一时	一時	a period of time; a while; for a short while
一时半会	一時半會	a short time; a little while
一时半会儿	一時半會兒	a short time; a little while
一时半刻	一時半刻	a short time; a little while
一时半晌	一時半晌	a short time; a little while
一时半霎	一時半霎	a short time; a little while
一时瑜亮	一時瑜亮	two remarkable persons living at the same period
一时间	一時間	for a moment; momentarily
一星半点	一星半點	just the tiniest bit; a hint of
一是一，二是二	一是一，二是二	lit. one is one, two is two; fig. things are (or ought to be) perfectly clear-cut; unequivocal
一晃	一晃	in an instant; in a flash
一曝十寒	一曝十寒	one day's sun, ten days' frost; fig. to work for a bit then skimp; sporadic effort
一更	一更	first of the five night watch periods 19:00-21:00
一月	一月	January; first month
一月份	一月份	January
一望无垠	一望無垠	to stretch as far as the eye can see
一望无际	一望無際	as far as the eye can see
一望而知	一望而知	to be evident at a glance
一朝一夕	一朝一夕	lit. one morning and one evening; fig. in a short period of time; overnight
一朝天子一朝臣	一朝天子一朝臣	new emperor, new officials; a new chief brings in new aides
一朝被蛇咬，十年怕井绳	一朝被蛇咬，十年怕井繩	once bitten by a snake, one is scared all one's life at the mere sight of a rope; once bitten, twice shy
一木难支	一木難支	lit. a single post cannot prop up a falling house; fig. one is helpless alone
一本万利	一本萬利	small capital, huge profit; to put in a little and get a lot out
一本正经	一本正經	in deadly earnest; deadpan
一杆进洞	一桿進洞	hole in one
一条心	一條心	to be of one mind; to think or act alike
一条绳上的蚂蚱	一條繩上的螞蚱	lit. grasshoppers tied together with a piece of string; fig. people who are in it together for better or worse; people who will sink or swim together
一条路走到黑	一條路走到黑	lit. to follow one road until dark; fig. to stick to one's ways; to cling to one's course
一条道走到黑	一條道走到黑	to stick to one's ways; to cling to one's course
一条龙	一條龍	lit. one dragon; integrated chain; coordinated process
一条龙服务	一條龍服務	one-stop service
一来	一來	firstly, ...
一来二去	一來二去	gradually; little by little; in the course of time
一杯羹	一杯羹	lit. a cup of soup; fig. to get part of the profits; one's share of the action
一板一眼	一板一眼	lit. one strong beat and one weak beats in a measure of music; fig. follow a prescribed pattern to the letter; scrupulous attention to detail
一板三眼	一板三眼	lit. one strong beat and three weak beats in a measure of music; fig. scrupulous attention to detail
一枝独秀	一枝獨秀	lit. only one branch of the tree is thriving; fig. to be in a league of one's own; outstanding
一枪命中	一槍命中	to hit with the first shot
一柱擎天	一柱擎天	lit. to support the sky as a single pillar; fig. to take a crucial responsibility upon one's shoulders
一样	一樣	same; like; equal to
一根筋	一根筋	stubborn; inflexible; one-track minded
一棍子打死	一棍子打死	to deal a single fatal blow; to totally repudiate sb because of a minor error
一概	一概	all; without any exceptions; categorically
一概而论	一概而論	to lump different matters together
一模一样	一模一樣	exactly alike; identical
一次	一次	first; first time; once
一次函数	一次函數	linear function
一次又一次	一次又一次	repeatedly; over and over again
一次性	一次性	one-off; one-time; single-use
一次总付	一次總付	lump-sum
一次方程	一次方程	linear equation
一次方程式	一次方程式	linear equation
一次生，两次熟	一次生，兩次熟	unfamiliar at first but you get used to it; strangers are first meeting, but soon friends; an acquired taste
一步一个脚印	一步一個腳印	one step, one footprint; steady progress; reliable
一步到位	一步到位	to accomplish in one step; to achieve the desired result in one go
一步登天	一步登天	reaching heaven in a single bound; instant success
一步裙	一步裙	pencil skirt
一毛一样	一毛一樣	exactly alike; identical
一毛不拔	一毛不拔	unwilling to spare a single hair; extremely stingy
一气	一氣	at one go; at a stretch; for a period of time
一气之下	一氣之下	in a fit of pique; in a fury
一气呵成	一氣呵成	to do something at one go; to flow smoothly
一氧化二氮	一氧化二氮	nitrous oxide N2O; laughing gas
一氧化氮	一氧化氮	nitric oxide
一氧化碳	一氧化碳	carbon monoxide CO
一水儿	一水兒	of the same type; identical
一波三折	一波三折	calligraphic flourish with many twists; fig. many twists and turns
一波未平，一波又起	一波未平，一波又起	before the first wave subsides, a new wave rises; a new problem arises before the old is solved; many twists and turns to a story
一派胡言	一派胡言	a bunch of nonsense
一派谎言	一派謊言	a pack of lies
一流	一流	top quality; front ranking
一清二楚	一清二楚	to be very clear about sth
一清二白	一清二白	perfectly clean; blameless; unimpeachable
一清如水	一清如水	lit. as clear as water; fig. (of officials etc) honest and incorruptible
一清早	一清早	early in the morning
一溜烟	一溜煙	like a wisp of smoke; in an instant
一潭死水	一潭死水	a pool of stagnant water; stagnant or listless condition
