# rime-lantern gloss table, generated by tools/build_gloss.py
# Source: CC-CEDICT (https://cc-cedict.org), release date 2026-09-17T05:48:14Z, 125072 entries
# Source sha256: 0d8031a4fa0386f1ad10bf7123187dcc536a061fcb9d22cca3cada7517edc1c2
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Columns: simplified<TAB>traditional<TAB>gloss1; gloss2; gloss3
11区	11區	Japan
赤足	赤足	barefoot; barefooted
赤身	赤身	naked
赤身露体	赤身露體	completely naked
赤道	赤道	equator; celestial equator
赤道仪	赤道儀	equatorial mount
赤道几内亚	赤道幾內亞	Equatorial Guinea
赤道逆流	赤道逆流	equatorial counter current
赤道雨林	赤道雨林	equatorial rain forest
赤金	赤金	pure gold
赤铁矿	赤鐵礦	hematite; ferric oxide Fe2O3
赤陶	赤陶	terracotta; terra cotta
赤霞珠	赤霞珠	Cabernet Sauvignon
赤颈䴙䴘	赤頸鷿鷈	red-necked grebe
赤颈鸫	赤頸鶇	red-throated thrush
赤颈鸭	赤頸鴨	Eurasian wigeon
赤颈鹤	赤頸鶴	sarus crane
赤麻鸭	赤麻鴨	ruddy shelduck
赦	赦	to pardon
赦令	赦令	amnesty; pardon
赦免	赦免	to pardon; to absolve; to exempt from punishment
赦罪	赦罪	to forgive
赧	赧	blushing with shame
赧然	赧然	blushing; embarrassed
赩	赩	red; scarlet
赪	赬	deep red
赫	赫	awe-inspiring
赫伯斯翼龙	赫伯斯翼龍	Herbstosaurus
赫伯特	赫伯特	Herbert
赫兹	赫茲	Hertz; Heinrich Hertz (1857-1894), German physicist and meteorologist, pioneer of electromagnetic radiation; hertz (Hz), unit of frequency
赫兹龙	赫茲龍	Hezron
赫卡忒	赫卡忒	Hecate
赫哲	赫哲	Hezhen ethnic group
赫哲族	赫哲族	Hezhen ethnic group
赫哲语	赫哲語	Hezhen language
赫图阿拉	赫圖阿拉	Hetu Ala (Manchu: Yellow Rock), Nurhaci's capital at the 1619 Battle of Sarhu
赫塞哥维纳	赫塞哥維納	Herzegovina
赫奇帕奇	赫奇帕奇	Hufflepuff
赫尔	赫爾	Hull; Kingston upon Hull
赫尔墨斯	赫爾墨斯	Hermes
赫尔曼	赫爾曼	Herman or Hermann
赫尔曼德	赫爾曼德	Helmand; Helmand province of south Afghanistan, capital Lashkar Gah
赫尔穆特	赫爾穆特	Helmut
赫尔穆特·科尔	赫爾穆特·科爾	Helmut Kohl (1930-), German CDU politician, Chancellor 1982-1998
赫尔辛基	赫爾辛基	Helsinki (Swedish Helsingfors), capital of Finland
赫山区	赫山區	Heshan, a district of Yiyang City , Hunan
赫德	赫德	Hart or Herd; Robert Hart (1835-1911), Englishman who served 1863-1911 in Qing dynasty customs office
赫拉	赫拉	Hera
赫拉克利特	赫拉克利特	Heraclitus (535-475 BC), pre-Socratic philosopher
赫拉特	赫拉特	Herat
赫拉特省	赫拉特省	Herat province of Afghanistan
赫斯提亚	赫斯提亞	Hestia
赫曼·麦尔维尔	赫曼·麥爾維爾	Herman Melville (1819–1891), US novelist, author of Moby Dick
赫本	赫本	Hepburn
赫然	赫然	with astonishment; with a shock; awe-inspiringly
赫特河公国	赫特河公國	Principality of Hutt River
赫福特郡	赫福特郡	Hertfordshire
赫章县	赫章縣	Hezhang, a county in Bijie City , Guizhou
赫罗图	赫羅圖	Hertzsprung-Russell diagram
赫耳墨斯	赫耳墨斯	Hermes, in Greek mythology, messenger of the Gods
赫胥黎	赫胥黎	Huxley; Thomas Henry Huxley (1825-1895), British evolutionary scientist and champion of Darwin; Aldous Huxley (1894-1963), British novelist
赫芬顿邮报	赫芬頓郵報	Huffington Post
赫赫	赫赫	brilliant; impressive; outstanding
赫赫有名	赫赫有名	illustrious; prominent; prestigious
赫鲁晓夫	赫魯曉夫	Nikita Khrushchev (1894–1971), secretary-general of Soviet Communist Party 1953–1964
赭	赭	ocher
赭石	赭石	ocher
赭红尾鸲	赭紅尾鴝	black redstart
赭衣	赭衣	convict's garb in ancient times; convict
赯	赯	red; crimson
走	走	to walk; to go; to run
走下坡	走下坡	to decline; to deteriorate; to go downhill
走下坡路	走下坡路	to go downhill; to decline; to slump
走丢	走丟	to wander off; to get lost
走乡随乡	走鄉隨鄉	to follow local customs; When in Rome, do as the Romans do.
走亲戚	走親戚	to visit relatives
走亲访友	走親訪友	to visit one's friends and relatives
走人	走人	to leave; to beat it
走低	走低	to go down; to decline
走你	走你	Let’s do this!; Come on, you can do this!
走俏	走俏	sells well; to be in demand
走偏	走偏	to deviate from the correct course; to go astray
走偏锋	走偏鋒	to write with the tip of the brush tilted; to resort to devious means
走光	走光	to expose oneself; to be completely gone
走入	走入	to walk into
走兽	走獸	animal; beast
走内线	走內線	insider contacts; via private channels; to seek influence with sb via family members
走出	走出	to leave; to go out through
走动	走動	to walk around; to move about; to stretch one's legs
走势	走勢	tendency; trend; path
走卒	走卒	pawn; servant; lackey
走南闯北	走南闖北	to travel extensively
走去	走去	to walk over
走后门	走後門	to enter through the back door; to pull strings; to use connections
走向	走向	direction; strike; inclination
走向断层	走向斷層	strike fault
走向滑动断层	走向滑動斷層	strike-slip fault; fault line where the two sides slide horizontally past one another
走味	走味	to lose flavor
走嘴	走嘴	a slip of the tongue; to blurt out
走回头路	走回頭路	to turn back; to backtrack; to revert to the former way of doing things
走圆场	走圓場	to walk around the stage
走地盘	走地盤	live betting; in-play wagering
走地鸡	走地雞	free-range chicken
走失	走失	to wander off; to get lost
走好运	走好運	to experience good luck
走娘家	走娘家	to visit one's parental home
走子	走子	a move
走字	走字	to run; to register time; to register
走宝	走寶	to miss out on sth valuable
走山	走山	landslide; avalanche; to take a walk in the mountains
走廊	走廊	corridor; aisle; hallway
走开	走開	to leave; to walk away; to beat it
走弯路	走彎路	to take an indirect route; to waste one's time by using an inappropriate method
走强	走強	to strengthen; to be on the rise
走形	走形	out of shape; to lose shape; to deform
走形儿	走形兒	out of shape; to lose shape; to deform
走形式	走形式	to go through the formalities
走心	走心	to take care; to be mindful; to be moved by sth
走扁带	走扁帶	slacklining
走扇	走扇	not closing properly
走投无路	走投無路	to be at an impasse; in a tight spot; at the end of one's rope
走掉	走掉	to leave
走散	走散	to wander off; to stray; to get lost
走时	走時	to keep time; propagation time; travel time
走来回	走來回	to make a round trip; a return journey
走板	走板	to be off the beat; to sound awful; to wander off the topic
走查	走查	walkthrough
走样	走樣	to lose shape; to deform
走样儿	走樣兒	to lose shape; to deform
走桃花运	走桃花運	to have luck with the ladies
走步	走步	to walk; to step; pace
走水	走水	to leak; to flow; to catch on fire
走江湖	走江湖	to travel around the country
走漏	走漏	to leak; to smuggle and evade tax; to suffer shrinkage
走漏消息	走漏消息	to divulge secrets
走火	走火	to go off accidentally; to catch fire
走火入魔	走火入魔	to be obsessed with sth; to go overboard; to misguidedly focus on hallucinations that arise during meditation
走狗	走狗	hunting dog; hound; running dog
走相	走相	to lose one's good looks
走眼	走眼	a mistake; an oversight; an error of judgment
走着瞧	走著瞧	wait and see
走神	走神	absent-minded; one's mind is wandering
走神儿	走神兒	absent-minded; one's mind is wandering
走票	走票	amateur performance
走禽	走禽	Ratitae (formerly Cursores) flightless birds such as ostriches
走秀	走秀	a fashion show; to walk the runway
走私	走私	to smuggle; to have an illicit affair
走私品	走私品	smuggled product; contraband; pirate product
走私货	走私貨	smuggled goods
走穴	走穴	to tour, playing in many venues
走索	走索	tightrope walking
走红	走紅	to become popular; to be a hit; to be in luck
走线	走線	to illegally migrate; a route of such illegal migration
走绳	走繩	tightrope walking
走肾	走腎	retractile testicle; infatuation inducing; pee inducing
走背字	走背字	to have bad luck
走色	走色	to lose color; to fade
走访	走訪	to visit; to go around visiting
走读	走讀	to attend school as a day student
走调	走調	out of tune; off-key
走资派	走資派	capitalist roader
走跌	走跌	to trend downward; to decline
走路	走路	to walk; to go on foot; to leave
走过	走過	to walk past; to pass by
走过场	走過場	to go through the motions
走运	走運	to have good luck; to be in luck
走近	走近	to approach; to draw near to
走进	走進	to enter; to step into
走道	走道	pavement; sidewalk; path
走避	走避	to run away; to escape; to avoid
走量	走量	to sell large volumes of goods at low profit margins
走钢丝	走鋼絲	to walk a tightrope
走错	走錯	to go the wrong way; to take the wrong
走门路	走門路	to use social connections; to toady to influential people
走险	走險	to take risks; to run risks
走音	走音	off-key; out of tune
走题	走題	to get off the main topic; to digress
走风	走風	to leak; to transpire
走马	走馬	to ride; to go on horseback
走马上任	走馬上任	to take office; to assume a post
走马灯	走馬燈	revolving door; musical chairs
走马看花	走馬看花	lit. flower viewing from horseback; fig. superficial understanding from cursory observation; to make a quick judgment based on inadequate information
走马章台	走馬章臺	to go to the brothel on horseback; to visit prostitutes
走马观花	走馬觀花	lit. flower viewing from horseback; a fleeting glance in passing; fig. superficial understanding from cursory observation
走鬼	走鬼	unlicensed street vendor
赳赳	赳赳	valiantly; gallantly
赴	赴	to go; to visit; to attend
赴任	赴任	to travel to take up a new post
赴会	赴會	to go to a meeting
赴华	赴華	to visit China
赴台	赴臺	to visit Taiwan
赴宴	赴宴	to attend a banquet
赴死	赴死	to meet death
赴汤蹈火	赴湯蹈火	lit. to jump into scalding water and plunge into raging fire; fig. to brave any danger; to go to any lengths
赴约	赴約	to keep an appointment
赴美	赴美	to go to the United States
赴考	赴考	to go and sit an examination
赴阴曹	赴陰曹	to enter hell
赵	趙	one of the seven states during the Warring States period; to surpass
赵乐际	趙樂際	Zhao Leji (1957-), member of the Politburo Standing Committee and Secretary of the Central Commission for Discipline Inspection
赵云	趙雲	Zhao Yun (-229), general of Shu in Romance of the Three Kingdoms
赵元任	趙元任	Yuen Ren Chao (1892-1982), Chinese-American linguist
赵公元帅	趙公元帥	Marshal Zhao, aka Zhao Gongming or Zhao Xuantan, God of Wealth in the Chinese folk tradition and Taoism
赵公明	趙公明	Zhao Gongming, God of Wealth in the Chinese folk tradition and Taoism
赵军	趙軍	army of Zhao during the Warring States
赵匡胤	趙匡胤	Zhao Kuangyin, personal name of founding Song emperor Song Taizu
赵县	趙縣	Zhao County or Zhaoxian, a county in Shijiazhuang City , Hebei
赵国	趙國	Zhao, one of the seven states during the Warring States Period of Chinese history
赵子龙	趙子龍	courtesy name of Zhao Yun , general of Shu in Romance of the Three Kingdoms
赵宋	趙宋	Song dynasty
赵客	趙客	knight of the Zhao State; generic term for a knight-errant
赵家人	趙家人	the Zhao family
赵尔巽	趙爾巽	Zhao Erxun (1844-1927), modern historian, compiled the Draft History of the Qing dynasty
赵岐	趙岐	Zhao Qi (-201 BC), early Han commentator on Mencius
赵州桥	趙州橋	Zhaozhou Bridge over Xiao River in Zhao county , Shijiazhuang, Hebei, dating back to the Sui dynasty (581-617) and the world's oldest extant stone arch bridge
赵忠尧	趙忠堯	Zhao Zhongyao (1902-1998), Chinese pioneer nuclear physicist
赵惠文王	趙惠文王	King Huiwen of Zhao , reigned 298-266 BC during the Warring States Period
赵括	趙括	Zhao Kuo (-260 BC), hapless general of Zhao , who famously led an army of 400,000 to total annihilation at battle of Changping in 260 BC
赵晔	趙曄	Zhao Ye, Han dynasty historian, author of History of the Southern States Wu and Yue
赵本山	趙本山	Zhao Benshan (1958-), universally known PRC TV comedian
赵构	趙構	Zhao Gou (1107-1187), personal name of the tenth Song Emperor Gaozong
赵树理	趙樹理	Zhao Shuli (1906-1970), proletarian novelist
赵玄坛	趙玄壇	Zhao Xuantan, God of Wealth in the Chinese folk tradition and Taoism
赵紫阳	趙紫陽	Zhao Ziyang (1919-2005), PRC reforming politician, general secretary of Chinese Communist Party 1987-1989, held under house arrest from 1989 to his death, and non-person since then
赵翼	趙翼	Zhao Yi (1727-1814), Qing dynasty poet and historian, one of Three great poets of the Qianlong era
赵薇	趙薇	Zhao Wei or Vicky Zhao (1976-), Chinese film star
赵高	趙高	Zhao Gao (?-207 BC), one of the most vile, corrupt and powerful eunuchs in Chinese history, responsible for the fall of Qin Dynasty
赶	趕	to overtake; to catch up with; to hurry
赶上	趕上	to keep up with; to catch up with; to overtake
赶不上	趕不上	can't keep up with; can't catch up with; cannot overtake
赶不及	趕不及	not enough time; too late
赶出	趕出	to drive away
赶到	趕到	to hurry
赶前不赶后	趕前不趕後	better to act early than rush later
赶尽杀绝	趕盡殺絕	to kill to the last one; to exterminate; to eradicate
赶工	趕工	to work against the clock; to hurry with work to get it done in time
赶巧	趕巧	just by chance; as chance would have it
赶往	趕往	to hurry to
赶得及	趕得及	to have enough time; to be able to make it
赶忙	趕忙	to hurry; to hasten; to make haste
赶快	趕快	quickly; at once
赶早	趕早	as soon as possible; at the first opportunity; the sooner the better
赶时间	趕時間	to be in a hurry
赶时髦	趕時髦	to keep up with the latest fashion
赶明儿	趕明兒	some day; one of these days
赶来	趕來	to rush over
赶浪头	趕浪頭	to follow the trend
赶海	趕海	to gather seafood at the beach while the tide is out; to comb the beach for shellfish, crabs or other marine life
赶紧	趕緊	hurriedly; without delay
赶羊	趕羊	to drive sheep; to herd sheep
赶考	趕考	to go and take an imperial examination
赶脚	趕腳	to work as a carter or porter; to transport goods for a living
赶英超美	趕英超美	to catch up with England and surpass the USA
赶走	趕走	to drive out; to turn back
赶赴	趕赴	to hurry; to rush
赶超	趕超	to overtake
赶跑	趕跑	to drive away; to force out; to repel
赶路	趕路	to hasten on with one's journey; to hurry on
赶车	趕車	to drive a horse-drawn cart; to hasten to catch a train or bus
赶集	趕集	to go to a local market or country fair
赶鸭子上架	趕鴨子上架	lit. to drive a duck onto a perch; fig. to push sb to do sth way beyond their ability
起	起	to rise; to raise; to get up
起义	起義	uprising; insurrection; revolt
起云剂	起雲劑	clouding agent; emulsifier
起亚	起亞	Kia
起价	起價	initial price; prices starting from
起伏	起伏	to move up and down; to undulate; ups and downs
起作用	起作用	to have an effect; to play a role; to be operative
起先	起先	at first; in the beginning
起初	起初	originally; at first; at the outset
起到	起到	to have (a (motivating etc) effect); to play (a (stabilizing etc) role)
起动	起動	to start up; to launch
起动钮	起動鈕	starter button; on switch
起劲	起勁	energetic; vigorous; enthusiastic
起号	起號	to build up a social media account
起司	起司	cheese
起司蛋糕	起司蛋糕	cheesecake
起名	起名	to name; to christen; to take a name
起哄	起鬨	to heckle; rowdy jeering; to create a disturbance
起因	起因	cause; a factor
起圈	起圈	to remove manure from a cowshed or pigsty etc; to muck out
起士	起士	cheese
起士蛋糕	起士蛋糕	cheesecake
起夜	起夜	to get up in the night to urinate
起头	起頭	to start; at first; beginning
起始	起始	to originate
起子	起子	baking soda; screwdriver; bottle opener
起家	起家	to start out by; to grow an enterprise beginning with; to begin one's career by
起小	起小	since childhood
起居	起居	everyday life; regular pattern of life
起居作息	起居作息	lit. rising and lying down, working and resting; fig. everyday life; daily routine
起居室	起居室	living room; sitting room
起居间	起居間	living room
起床	起床	to get out of bed; to get up
起床号	起床號	reveille
起床气	起床氣	grumpiness resulting from poor sleep; irritability in the morning
起底	起底	to uncover hidden facts; to dox
起开	起開	to step aside; Get out of the way!
起征点	起徵點	tax threshold
起意	起意	to conceive a scheme; to devise a plan
起手	起手	to set about
起扑	起撲	chip shot
起扑杆	起撲桿	chipper
起承转合	起承轉合	four-part structure of a composition: introduction, elucidation, pivot (shift in perspective), synthesis; coherent structural progression in writing, narrative, or any unfolding process
起拍价	起拍價	starting bid; starting price
起搏器	起搏器	pacemaker
起效	起效	to begin to produce its effect; to start working
起敬	起敬	to feel respect
起早贪黑	起早貪黑	to be industrious, rising early and going to bed late
起来	起來	to stand up; to get up; indicating the beginning and continuation of an action or a state
起步	起步	to set out; to set in motion; the start
起步价	起步價	starting price; base fare
起死回生	起死回生	to rise from the dead; fig. an unexpected recovery
起毛	起毛	fluff; lint; to feel nervous
起泡	起泡	to bubble; to foam; to blister
起泡沫	起泡沫	to emit bubbles; to bubble; to foam
起源	起源	origin; to originate; to come from
起火	起火	to catch fire; to cook; to get angry
起点	起點	starting point
起点线	起點線	starting line
起爆	起爆	to explode; to set off an explosion; to detonate
起球	起球	to pill
起用	起用	to promote; to reinstate
起电机	起電機	electrostatic generator
起疑	起疑	to begin to suspect; to grow suspicious
起皮	起皮	to peel
起皱纹	起皺紋	to shrivel
起眼	起眼	to catch one's eye
起码	起碼	at the minimum; at the very least
起磁	起磁	magnetization; to magnetize
起种	起種	starter
起程	起程	to set out; to leave
起稿	起稿	to make a draft; to draft
起立	起立	to stand; Stand up!
起粟	起粟	to get goose bumps
起航	起航	to set sail; to take off
起色	起色	a turn for the better; to pick up; to improve
起草	起草	to make a draft; to draw up
起落	起落	to rise and fall; takeoff and landing; ups and downs
起落场	起落場	airfield; takeoff and landing strip
起落架	起落架	landing gear; undercarriage
起落装置	起落裝置	aircraft takeoff and landing gear
起薪	起薪	starting salary
起见	起見	motive; purpose; being the motive or purpose
起誓	起誓	to vow; to swear an oath
起讫	起訖	beginning and end
起讲	起講	to start a story
起诉	起訴	to sue; to bring a lawsuit against; to prosecute
起诉书	起訴書	indictment; statement of charges
起诉员	起訴員	prosecutor
起诉者	起訴者	plaintiff; prosecutor
起课	起課	to practice divination
起跑	起跑	to start running; the start of a race
起跑线	起跑線	the starting line; scratch line
起跳	起跳	to take off; to start
起身	起身	to get up; to leave; to set forth
起迄	起迄	start and end; origin and destination
起造员	起造員	draftsman; draughtsman
起重	起重	to lift (sth heavy) using a crane or other mechanical means
起重机	起重機	crane
起重葫芦	起重葫蘆	hoist pulley
起钉器	起釘器	staple remover
起钉锤	起釘錘	claw hammer
起锚	起錨	to weigh anchor
起降	起降	to take off and land
起雾	起霧	to form; to set in; to fog up
起飞	起飛	to take off; to lift off; to start to develop rapidly
起飞弹射	起飛彈射	takeoff catapult
赸	赸	to jump; to leave
趁	趁	to avail oneself of; to take advantage of
趁人之危	趁人之危	to take advantage of sb's difficulties
趁便	趁便	to take the opportunity; in passing
趁势	趁勢	to take advantage of a favorable situation; to seize an opportunity
趁手	趁手	conveniently; without extra trouble; convenient
趁早	趁早	as soon as possible; at the first opportunity; the sooner the better
趁机	趁機	to seize an opportunity
趁火打劫	趁火打劫	to loot a burning house; to take advantage of sb's misfortune
趁热	趁熱	while it's still hot
趁热打铁	趁熱打鐵	to strike while the iron is hot
趄	趄	to slant; to incline
超	超	to exceed; to overtake; to surpass
超临界	超臨界	supercritical
超乎寻常	超乎尋常	out of the ordinary; exceptional
超产	超產	to exceed a production goal
超人	超人	Superman, comic book superhero; superhuman; exceptional
超值	超值	to be well worth the money one pays; to be great value
超凡	超凡	out of the ordinary; exceedingly
超出	超出	to exceed; to overstep; to go too far
超前	超前	to be ahead of one's time; to surpass or outdo one's predecessors; to be ahead of the pack
超前意识	超前意識	foresight
超前消费	超前消費	excessive consumption; spending beyond one's means
超前瞄准	超前瞄準	to aim in front of a moving target
超升	超升	exaltation
超卖	超賣	to overbook; to oversell
超博士	超博士	postdoc; postdoctoral fellow
超友谊关系	超友誼關係	relationship that is more than friendship
超员	超員	overcrowded with people; overstaffed
超售	超售	overbooking
超商	超商	convenience store; mini-mart
超国民待遇	超國民待遇	privileges granted to foreigners exceeding those accorded to nationals of the host country
超基性岩	超基性岩	ultrabasic rock
超声	超聲	ultrasonic; ultrasound
超声扫描	超聲掃描	ultrasonic scan
超声波	超聲波	ultrasound
超声波检查	超聲波檢查	echography; ultrasound scan
超媒体	超媒體	hypermedia
超对称	超對稱	supersymmetry
超导	超導	superconduction; superconductivity
超导体	超導體	superconductor
超导电体	超導電體	superconductor
超导电性	超導電性	superconductivity
超市	超市	supermarket
超常	超常	exceptional; well above average; supernatural
超常发挥	超常發揮	to outdo oneself; to perform exceptionally well
超平面	超平面	hyperplane
超度	超度	to surpass; to transcend; to perform religious ceremonies to help the soul find peace
超弦	超弦	superstring
超我	超我	superego
超拔	超拔	outstanding; to fast-track; to elevate
超支	超支	to overspend
超敏反应	超敏反應	hypersensitivity
超文件	超文件	hypertext
超文件传输协定	超文件傳輸協定	hypertext transfer protocol; HTTP
超文本	超文本	hypertext
超文本传输协定	超文本傳輸協定	hypertext transfer protocol; HTTP
超文本传送协议	超文本傳送協議	hypertext transfer protocol
超文本标记语言	超文本標記語言	hypertext markup language; HTML
超新星	超新星	supernova; breakout star
超时	超時	to exceed the time limit; overtime; timeout
超标	超標	to cross the limit; to be over the accepted norm; excessive
超模	超模	supermodel
超泛神论	超泛神論	panentheism, theological theory of God as equal to the Universe while transcending it
超然	超然	aloof; detached; disinterested
超物理	超物理	surpassing the physical world; metaphysical
超现实	超現實	surreal; surrealistic
超现实主义	超現實主義	surrealism
超生	超生	to be reincarnated; to be lenient; to spare sb
超界	超界	superkingdom
超短波	超短波	ultra short wave; UHF
超短裙	超短裙	miniskirt
超等	超等	superior grade
超算	超算	supercomputing; supercomputer
超级	超級	super-; ultra-; hyper-
超级传播者	超級傳播者	super spreader
超级名模	超級名模	supermodel
超级大国	超級大國	superpower
超级市场	超級市場	supermarket
超级强国	超級強國	superpower
超级月亮	超級月亮	supermoon
超级杯	超級杯	Super Cup; Super Bowl
超级电脑	超級電腦	supercomputer
超级碗	超級碗	Super Bowl
超级细菌	超級細菌	superbug
超级英雄	超級英雄	superhero
超级计算	超級計算	supercomputing
超级计算机	超級計算機	supercomputer
超级跑车	超級跑車	supercar
超级链接	超級鏈接	hyperlink
超纲	超綱	beyond the scope of the syllabus
超经验	超經驗	extra-empirical; outside one's experience
超绝	超絕	surpassing; excelling; preeminent
超维空间	超維空間	hyperspace; superspace; higher dimensional space
超群	超群	surpassing; preeminent; outstanding
超群绝伦	超群絕倫	outstanding; incomparable
超联	超聯	superleague
超能力	超能力	superpower; superhuman power
超脱	超脫	to stand aloof; to be detached from; to transcend worldliness
超自然	超自然	supernatural
超英	超英	superhero
超译	超譯	a translation that takes liberties with the original text
超负荷	超負荷	excess load; an overload; overloaded
超越	超越	to surpass; to exceed; to transcend
超越主义	超越主義	transcendentalism
超越数	超越數	transcendental number
超跑	超跑	supercar
超距作用	超距作用	action at a distance
超车	超車	to overtake
超载	超載	to overload
超迁	超遷	to be promoted more than one grade or rank at a time; to be promoted ahead of time
超过	超過	to surpass; to exceed; to outstrip
超连结	超連結	hyperlink
超速	超速	to exceed the speed limit; to speed; high-speed
超重	超重	overweight
超重氢	超重氫	tritium
超链接	超鏈接	hyperlink
超链结	超鏈結	hyperlink
超限战	超限戰	unrestricted warfare
超雄	超雄	explosively aggressive; violently volatile
超雄综合征	超雄綜合徵	XYY syndrome
超音波	超音波	ultrasound; ultrasonic wave
超音速	超音速	supersonic
超频	超頻	overclocking
超额	超額	above quota
超额利润	超額利潤	superprofit; excess profit
超额订购	超額訂購	to overbook
超额认购	超額認購	oversubscribed
超额配股权	超額配股權	an oversubscribed share
超马	超馬	ultramarathon
超验主义	超驗主義	transcendentalism
超高速	超高速	ultra high speed
超龄	超齡	too old; overage; beyond one's years
越	越	generic word for peoples or states of south China or south Asia at different historical periods; to exceed; to climb over
越位	越位	offside
越侨	越僑	Vietnamese resident in other countries
越俎代庖	越俎代庖	lit. to go beyond the sacrificial altar and take over the kitchen; fig. to exceed one's place and meddle in other people's affairs; to take matters into one's own hands
越光米	越光米	Koshihikari rice
越共	越共	Communist Party of Vietnam; Viet Cong
越冬	越冬	to pass the winter; to overwinter; to live through the winter
越剧	越劇	Shaoxing opera
越南	越南	Vietnam
越南刺鳑鲏	越南刺鰟鮍	Acanthorhodeus tonkinensis Vaillant
越南战争	越南戰爭	Vietnam War
越南文	越南文	Vietnamese written language; Vietnamese literature
越南民主共和国	越南民主共和國	Democratic Republic of Vietnam (aka North Vietnam), a country in Southeast Asia 1945-1976
越南盾	越南盾	Vietnamese dong
越南语	越南語	Vietnamese language, Tiếng Việt
越发	越發	increasingly; more and more; ever more
越国	越國	Yue state; generic term for states in south China or southeast Asia at different historical periods
越城区	越城區	Yuecheng, a district of Shaoxing City , Zhejiang
越城岭	越城嶺	Yuecheng mountain range between south Hunan and Guangxi
越境	越境	to cross a border; to sneak in or out of a country
越席	越席	to leave one's seat
越帮越忙	越幫越忙	to be officious; to kibitz; to be meddlesome
越式	越式	Vietnamese-style
越战	越戰	Vietnam War
越描越黑	越描越黑	lit. the more you touch things up, the darker they get; fig. to only make matters worse
越文	越文	Vietnamese written language; Vietnamese literature
越权	越權	to go beyond one's authority; arrogation
越来越	越來越	more and more
越橘	越橘	cowberry
越演越烈	越演越烈	to be intensifying; to be getting worse and worse; to start to run rampant
越狱	越獄	to break out of prison; to jailbreak
越狱犯	越獄犯	escaped prisoner
越王勾践	越王勾踐	King Gou Jian of Yue (c. 470 BC), sometimes considered one of the Five Hegemons
越瓜	越瓜	snake melon
越界	越界	to cross a border; to overstep a bound
越礼	越禮	to overstep etiquette; not to observe priorities
越秀区	越秀區	Yuexiu, a district of Guangzhou City , Guangdong
越级	越級	to skip a grade; to bypass ranks; to go over the head of one's boss
越职	越職	to exceed one's authority; to go beyond the bounds of one's job
越西县	越西縣	Yuexi, a county in Liangshan Yi Autonomous Prefecture , Sichuan
越轨	越軌	to run off the track; to step out of line; to overstep the bounds of propriety
越过	越過	to cross over; to transcend; to cover distance
越野	越野	to travel cross-country; to go off-road; cross-country
越野赛跑	越野賽跑	cross-country running
越野跑	越野跑	cross country running
越野车	越野車	off-road vehicle
越陷越深	越陷越深	to fall deeper and deeper
越障	越障	to surmount obstacles; assault course for training troops
越飞	越飛	Adolph Abramovich Joffe (1883-1927), Soviet and Comintern diplomat and spy in 1922-23 in Republican China
趋	趨	to hasten; to hurry; to walk fast
趋之若鹜	趨之若鶩	to rush like ducks; the mob scrabbles madly for sth unobtainable; an unruly crowd on a wild goose chase
趋于	趨於	to tend towards
趋冷	趨冷	to cool
趋利避害	趨利避害	to make the most of the benefits while avoiding adverse effects
趋力	趨力	driving force
趋势	趨勢	trend; tendency
趋化作用	趨化作用	chemotaxis
趋吉避凶	趨吉避凶	to seek luck and avoid calamity
趋同	趨同	to converge
趋同进化	趨同進化	convergent evolution
趋向	趨向	direction; trend; to incline
趋奉	趨奉	to fawn on; to kiss up to
趋时	趨時	to follow current trends; to conform to the fashion of the times
趋炎附势	趨炎附勢	to curry favor; playing up to those in power; social climbing
趋缓	趨緩	to slow down; to ease up; to abate
趋近	趨近	to approach; to converge to a limit; convergence
趋附	趨附	to ingratiate oneself
趐	趐	to enter; to fly
趑	趑	to falter; unable to move
趑趄	趑趄	to advance with difficulty; to hesitate to advance
趑趄不前	趑趄不前	hesitant and not daring to move forward
趑趄嗫嚅	趑趄囁嚅	faltering steps, mumbling speech; hesitant; cringing
趒	趒	to jump; to climb over; to leap
趔趄	趔趄	to stagger; to stumble; to reel
趟	趟	to wade; to trample; to turn the soil
趟浑水	趟渾水	to get involved in an unsavory enterprise
趡	趡	place name
趣	趣	interesting; to interest
趣事	趣事	entertaining anecdote; interesting story or incident
趣剧	趣劇	farce
趣味	趣味	fun; interest; delight
趣多多	趣多多	Chips Ahoy!
趣闻	趣聞	funny news item; interesting anecdote
趦	趦	unable to move
趦趄嗫嚅	趦趄囁嚅	faltering steps; mumbling speech; hesitant
趫	趫	nimble; walk on stilts
趮	趮	easily provoked, hasty; fierce, cruel
趯	趯	to jump; way of stroke in calligraphy
趱	趲	to hasten; to urge
足	足	excessive; foot; leg
足下	足下	you; below the foot
足不出户	足不出戶	to not leave one's home; to stay indoors
足以	足以	sufficient to...; so much so that; so that
足利	足利	Ashikaga
足利义政	足利義政	ASHIKAGA Yoshimasa (1435-1490), eighth Ashikaga shōgun, reigned 1449-1473
足利义满	足利義滿	ASHIKAGA Yoshimitsu (1358-1408), third Ashikaga shogun, reigned 1368-1394
足利义稙	足利義稙	Ashikaga Yoshitane (1466-1523), Japanese Muromachi shogun 1490-93
足协	足協	soccer association; soccer federation
足协杯	足協杯	soccer association cup
足印	足印	footprint
足坛	足壇	soccer circles; soccer world
足够	足夠	enough; sufficient
